run_id,dataset,backend,n_alt,arm,repeat,idx,solve_time_s,simplex_iterations,barrier_iterations,status
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,10,0.5180,1200,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,11,0.4990,1350,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,12,0.4900,1112,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,13,0.5720,1884,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,14,0.4840,1273,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,15,0.5130,1331,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,16,0.5190,1760,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,17,0.4870,1387,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,18,0.4610,1199,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,19,0.5630,1926,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,20,0.4690,1191,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,21,0.5060,1243,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,22,0.5200,1237,52,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,23,0.4700,1354,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,24,0.4950,1175,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,25,0.5020,1112,52,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,1,0.5320,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,2,0.5620,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,3,0.4820,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,4,0.4600,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,5,0.5030,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,6,0.4600,1321,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,7,0.4690,1296,46,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,8,0.4840,1285,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,9,0.4910,1921,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,10,0.5620,1200,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,11,0.4980,1350,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,12,0.4880,1112,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,13,0.5700,1884,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,14,0.4820,1273,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,15,0.5060,1331,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,16,0.5120,1760,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,17,0.4880,1387,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,18,0.4570,1199,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,19,0.5600,1926,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,20,0.4840,1191,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,21,0.5310,1243,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,22,0.5020,1237,52,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,23,0.4590,1354,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,24,0.4920,1175,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,25,0.4970,1112,52,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,1,0.5160,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,2,0.0240,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,3,0.0210,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,4,0.0120,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,5,0.0230,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,6,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,7,0.0100,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,8,0.0160,26,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,9,0.0130,24,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,10,0.0090,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,11,0.0090,2,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,12,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,13,0.0060,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,14,0.0160,27,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,15,0.0050,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,16,0.0120,13,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,17,0.0100,5,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,18,0.0080,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,19,0.0060,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,20,0.0130,20,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,21,0.0080,2,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,22,0.0090,1,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,23,0.0080,1,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,24,0.0130,18,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,25,0.0050,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,1,0.5200,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,2,0.0270,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,3,0.0210,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,4,0.0140,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,5,0.0240,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,6,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,7,0.0120,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,8,0.0170,26,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,9,0.0140,24,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,10,0.0090,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,11,0.0080,2,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,12,0.0120,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,13,0.0070,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,14,0.0160,27,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,15,0.0060,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,16,0.0120,13,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,17,0.0080,5,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,18,0.0000,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,19,0.0210,0,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,20,0.0140,20,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,21,0.0000,2,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,22,0.0100,1,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,23,0.0080,1,0,OPTIMAL
