sweep,cost,dobj
dense,2.628525835778793e8,115.29542135912935
dense,2.629641982630505e8,115.21712811487967
dense,2.6307581294822156e8,115.13983056424118
dense,2.631874276333926e8,115.06397413034844
dense,2.6329904231856376e8,114.98817918539729
dense,2.6341065700373495e8,114.91252913351707
dense,2.6352227168890586e8,114.83741006984837
dense,2.6363388637407738e8,114.76344650645304
dense,2.637455010592484e8,114.69143303725173
dense,2.6385711574441937e8,114.61978810886872
dense,2.639687304295905e8,114.54882265841024
dense,2.6408034511476135e8,114.48089705528514
dense,2.6419195979993236e8,114.41305083961402
dense,2.6430357448510358e8,114.34566078092271
dense,2.6441518917027482e8,114.2783868590696
dense,2.645268038554458e8,114.21111530261072
dense,2.646384185406168e8,114.1441256965437
dense,2.647500332257877e8,114.07956730757738
dense,2.6486164791095877e8,114.01642331712577
dense,2.649732625961298e8,113.95335867654981
dense,2.6508487728130087e8,113.89033209234898
dense,2.65196491966472e8,113.82731080934141
dense,2.653081066516431e8,113.76429187352447
dense,2.6541972133681417e8,113.70129975809486
dense,2.6553133602198523e8,113.6383370704442
dense,2.6564295070715642e8,113.57540636064758
dense,2.6575456539232737e8,113.51248061797587
dense,2.6586618007749844e8,113.44955648527161
dense,2.659777947626695e8,113.38664174526704
dense,2.660894094478406e8,113.3237332751768
dense,2.662010241330116e8,113.2608253764495
dense,2.663126388181828e8,113.19791788061977
dense,2.6642425350335386e8,113.13501063957808
dense,2.6653586818852496e8,113.07219463329534
uniform,2.4432454583948147e8,201.29235248022397
uniform,2.459110688644133e8,186.46755111544826
uniform,2.47497591889345e8,174.0854438691145
uniform,2.4908411491427672e8,162.54372586843672
uniform,2.506706379392079e8,151.62691860067662
uniform,2.5225716096413976e8,142.38381010169195
uniform,2.538436839890716e8,135.4979638515198
uniform,2.5543020701400322e8,129.1917827058358
uniform,2.5701673003893468e8,124.37427537684225
uniform,2.5860325306386638e8,120.38368352099965
uniform,2.601897760887981e8,117.4647556331784
uniform,2.6177629911372995e8,116.0561446057093
uniform,2.6336282213866138e8,114.94489253969536
uniform,2.6494934516359288e8,113.9668652587136
uniform,2.6653586818852457e8,113.07219463329544
arclength,2.4432454583948165e8,201.29235248022343
arclength,2.453627656095684e8,191.18258220328096
arclength,2.4635138895308322e8,182.87025675334513
arclength,2.4746946010997736e8,174.29923109911127
arclength,2.4867366920206726e8,165.4340643926804
arclength,2.4991657867615068e8,156.7733585724199
arclength,2.5121284749248582e8,148.13389089734994
arclength,2.5255288557696354e8,140.96010974149902
arclength,2.5411258343695697e8,134.3864689763227
arclength,2.5590783375058585e8,127.59652885234813
arclength,2.5780348967621994e8,122.33853577065616
arclength,2.599496073573649e8,117.72826995797334
arclength,2.6225205228552058e8,115.7179612423738
arclength,2.648086386289569e8,114.04641082411305
arclength,2.665358681885262e8,113.07219463329463
# uniform: points=15 solves=15 mean=0.10778622367153089 max=0.182594008976499 cv=0.3460573762433784
# arclength: points=15 solves=16 mean=0.10779310577160185 max=0.12376338683585617 cv=0.09689669767010037
